threat_collection,domain,file_hash,file_name,file_path,file_size,ip,src_user,url
file_intel,,bfd2e4c2bfbafecf86eefee6883f561322c111ff2b959fa2052f5fcdab71b1a6 12aab6a2ab77e6171c8cc599a0faad60b91e2518 5f6995b89ae594042ca2fb0f37544c2cf452e943a3fafcfd92a804bd2d8928f5c383b21e120a36cb47c72eab4fa0b51f9d6b299816254c396a234f9685688d48 9a773e469d0f5f4324a2b25716aa5a6d,,,,,,
file_intel,,6119d2eff5674d4a5721cdb1e90ddccf5c357b9376272fea1d692c0753f017283cb4fd29da510718c0802bdcbd8c2e03d3c219b7c04a86a478692d70184f0c65 32487cd7a5a3c7c7a22b221eb02bd431 37f2f86c7f5675e40fc4576be5f26bb01883fca1f9235976581dfd2cf8068d4f 230652edc7a037ca79db44e146667ec5632f4c99,,,,,,
file_intel,,154ed6bb4a361cd0a25885d71ab036dc2a5055184f76064802e3dbcb1fe3626d 834f49cc177b4790b70e23444442466748c5b9f7 adfd0d74bd3f03548c7171712ff384b95f0257306af50e47ad6b6f2d4fe62b763ba9a1ee0ee726a647020fd93ff6c5d0d9359a4ebf174322576657db67c0a607 a3bb92007033b3549b1ab961db0c77fc,,,,,,
file_intel,,723e857db57e42ec5511d6e2715788858825b669 cb02dd02b234e89530ffd81eb62c1a3b9ea78381899fbeed0f59f72fea77169f4a0494977aebc5bd1d91c90fee21050dd388fda086081224aebd3a1237eb44cd 98e7590a594d21ae2405f642884ebf46 0ced9a0970fb75bc008e21a2f765d29428b4ebf9c8e5d2beaee25e2ccd43f3cf,,,,,,
file_intel,,b793d52a2516c67575b9cda2c0424fcd058132fd6eeec8cd14139e62e3042f24edc928187d73ae613b85692efffb4d218817eb051f1f4d79d597f8cfa5b41de6 9b43845e2fb3134a21d2d10efbaeda51 5ffa2e5ffa093ef9be81a45cb08396cb66cc227d de5aab8c8bcaf3c9299402d7cfa43a5e2f76457fd01ebfc6c4dcb5046ec0e88a,,,,,,
file_intel,,a6f9051b753d7cb534b5addbc8dc82a083a27336a9e1fa45d8978120dcdd05df5b7c6497dee34228e704a1419d43326be462160c9ca428e5d8f30fe36f52bb17 0932c69bb42acec648926c3673bee951df0427d1 e020b3b7a9d23068e96794360b7607c1e954ff8b9c61cf575fce406cc40411ba b3f29741ed813802200b4adc1a0e95bc,,,,,,
file_intel,,351d7ab169a68b55c8254ed2fc5025757af040da f1c0258cc2f1d98bdd966584cade8fa565ed65d6d23b275441cba2083c2f0c36a4d0b3492fa0bea688173d00edb5f89456d10255a6ad9433eeccf77dd720b968 d3e6e18464647a1202c8147013bc088b7ca710d698416310eb1625abf210427e c5156228277e0e4536ae3eb0db6df9a9,,,,,,
file_intel,,6754541a944ca74c5045020a88f600092f158c403b0cfadce2a64d47377e2f8b6eb5f39e00f907ff1b7a328962660d99ecef0ef60ea086790aab92f97f7664cd 6e6a1198618b6e8a6204123ada113ce2 1e07d3dff7fb1699aed4ac628d6dc8c7de8e5556 3ad40e6ca03efe55b5e49c107a1b3c63763de9a538b2ca0b40a84c6d27315864,,,,,,
file_intel,,2604077eea70269257ff1dcf39c8f95fb52a1abb 1e76e75fc265378c387745089c1cc623 2af70de2fcbd7130f2e0925eaa0260a1d66f5b8c531797cb4baea31df568e542 496966f423e7f84d359f8d9b7a013f80914abde215053a7e02ef7fbb7cd2c7b1b43632343cd31c4fac169099e525c99371886f914ec4c5003fbdb4caace92a3f,,,,,,
file_intel,,cf7b2b0da3c37c53b4f2edf3ba071c26105801d8c90f1b3d0a292232224681ace08a6730cce19d63b1cf5b1fdd5b6bfeb932b8f1012d965a73e0acffa02d2444 f337614c8641b5c70b4f5241d0435143 3d3455708993e062051858cec11d668e8863da07 78baf860c3541521aa08008ac7f84749e748130c505173356d8a9df7991e72aa,,,,,,
file_intel,,0b542337018c966a5a35f2d55121aa8f8369787734306c5c64548ca4fc26e252 f52c1d1a0bffb1eb8ba6168452fb93a4237bc4d86622a7854df36d80df6139e7af618ac09581f21ec0a93693b4001f42b96d1eea709c36d741f66201865a87d2 a42a9dc124e9af223aa74403be201572 6351bd82c0f0738069f8d5097b7e1001c8fca98b,,,,,,
file_intel,,8175d223c4c5ca6cce745ea079b28de3482d6e30431669a1a0aefa4c68e7e0a2 8adf730a2bd092641449525fac54ae56 e8da4db21d1a79bf5d2d9294069ed770b035637b4d1f592af42986d09fc6c951d94f7898fb15b9a706ee9f02b107fb25bdc6cade97790d07107713f0276c4df1 42d43b5f3851a62d9579202e3ea04c2962ad3b2e,,,,,,
file_intel,,e5fd56f16367422660b3206f3703704646498d49c3d219d93f24061d32e3a006 364189b9dd63d9fd296c2f584a635a7f bed2b0b24d776d8520035796554dcbe8c9d0bf51a39054c1ca1d721502794b987c63da389b3c8e8f8daff68cac07c00ccc8cf62e216ebba5e4832396c69196d7 01ba8f1aa34341bb117f06ef6305d8d9602a469e,,,,,,
file_intel,,7aaa2ff58e79f0b40465c1b816054822cb01a05b1c9680ddf1732c183c87dcfa5698191cac2e9d86e063ffd172eab28efcf79cd696d2c6efb3b1d53244ebeade 00ac3cb5b7d5ce1e2fa51b03d80b7ada09d9a086 32b17853f7acd392a3ab2af8a6e3dfb1354cc0d40e3e32aaca41635f081cce26 991118c36d08e9165ca8dbcf29e7a28e,,,,,,
file_intel,,8c326f8a438ec4d3e9e96cb969ba7653ac27f912914e0f1d2c76918a5d1d9f6c 7fa385c6a269d9221aecf398bb96145367e04e3f7c28bb8b98236f7ca6e638b8c65bcda4fdd9409fabdaeb6387576924a452f31dd5b03f4f6ac7c3656499421e 2c143153b421234aa8bf1cae9b0b98e3d5448dce 79e48b1576dd317582bb3844734da933,,,,,,
file_intel,,f6fbb748379e1f25e4186d0933f0749c2e539f71e68336b6f872292a26e4cf55 7228827fad0df1accb8079fbabdb94fccadba73c7f0a2c69ef6e214088f377e497cc0ae4f3727f85799f85b932ab669021b8e3218de2da0acaf3ee5b27e46aad ea0ed676c1baccaf6bb50242f6533df1 262686efe42b342aa6ad98f619c1c161dece0217,,,,,,
file_intel,,4b7e4e0ac535cb963f950f0f736eaec54a31716d e2b9949e490aff52ac72ad66e589fd91d4b9981d6da27073dcf9506abb46be1d 6e91ff3c63a6cee668d3cd25b4a1184a95d72376404af0381e73bc44961618bf328bfbb2586ec235eb5239cd1b01e9663353a6859dc4cad8d4f6140e7cf9436f cbeb5e515bbfc8add0ab3956aed41e41,,,,,,
file_intel,,99934011fee1d6cce81f715913cdea77 5819e898cc9b19053c0e003c4718888bc7b06279708655972b432c0ca33d554277200a48370131961196e991358fb843ca2c3e2f7a36497ee6b007410b4bdebe 23116400d7abd9c55bb1176477f11738fcfd79e3 d7ee49d17f375109aeed58b06fc4cda518d019db609960bd3577b438a4a573c0,,,,,,
file_intel,,783bc373f7efafa97001fb1873035287 54446854fa84a162002aa516c27da7ec47396585 7d42755304cda8edf728f0c0b463f21df0b26eb244dae66964baec618aaa29a76d669e1599dfeae9da88bd826ae0c56b90b14204fa75073bd2a8a8b16c757a86 0b31fb97e4737c5b5c5d481d833b0c33c8b207c70815af330759ddd4f2738fdb,,,,,,
file_intel,,e81343d2db4312363ab142c63fae834dc79c9efcf7131f765ef9f19f06485306 cb4d2de7ac15920f05fa0b22921a0c0e 382a69ea35780818c3a19e638fb65b8866c4784ee218e92c079ec4cffc1a222f51665021668567f6fe998832bfcb1b5448ea753721f9aba13dffb539bdf7a73f 2eb4740e0655cb981564c9297feac247282a8e85,,,,,,
file_intel,,ae60c033f29e62fcc8253c63a99d3916 d6987e562a8c1b433cb127f283c56f6fd9361688 00c99c6e489a6afb57cc735db0c779147632d5de1220efe8a6b61a3fcc2cc4f720d5303edcfd06858edaf63b78377003a98a262ca204d68f356ed0b3f0ebdae2 d9ed3fabe5f7823e1639f4fbfc4b7e30e4012717d4325d4022a38a04f7ec2c04,,,,,,
file_intel,,01fd000a2106f1d4587020734978216402803141 1c346b0addee1fd18ac42e877f92b9eb 4e2b03b2cdd7979beafdd0737e1c47acfd1752e10fe322519a2ad19f245b6895 593b1b968d1a5ab97a0744aefd538e11e6b32802425069e6067b54488a19fb67e7ee27385967e866a7f498e2d8a665950acb677b5407c401c7eb8db16e2e4739,,,,,,
file_intel,,24f4e92d7741bfb648691810255c42f9 ff9f63406c8449c496f81902ea96be20f49874bd124594208eda731dff274429 2c06a31e7271f37ea97b1aa1e11463c0d0bea645c4ef44b68b266c40c2766464fbdcf39946f4ec3e19df858594c83158f96576dd6b15a989404f19841fb13af5 00c701e394b18e77fa2c54a17c965d613918dbea,,,,,,
file_intel,,27d394b89eb7066c94a543623cfdbbb07eafa0eb 41aef8d66d22ecce83ebda3e48ac0b1e13d9a69547192fe1e7310a572c8f5607b1dd7f90f470a62a68e3f27a8e08e8dd3ea22ae249d131f4b2ea4836efd3e4ce e4b5e5b8a7acef0463044e7e84b460878e45979e1e3e1d82ae0d1078e6f3012d 9a7ed2eb192d276e27bfe35f4a296436,,,,,,
file_intel,,b8e808a9915817ae7bfc0e4567f3ea1a708e7eb4 4a8e0e0aa2c8afd22703e58f80e54bd8 090446b38ab662303ed1867c694cccdbb9c394f313335c20e3547e91d06a207e 568fa80a9f8c27692e8f3563b48d703cb33133923cb197aff39f701a4c019b29e316be0834f9d0443c2c6758a0c11976c001265046a1b7bcb358720b46cd2351,,,,,,
file_intel,,3b8e01668cc4199e41cafd71ff1ee095be6cbc97 f0f63ff7cf3027f64a01cb7ec8b417c7a61d52f182c3f0934f7903f8b039abf8 d17ee96a39741d9974e38479478c3e57a520ad9721b9161859ca387063c77a4c86bd9df610ad36a06b7c506a1240c59e6904529163e1e7db13fd276cfa7b494a f5e53eb2bbfc5ab525e17c43f78783d4,,,,,,
file_intel,,3a6cdea1052644cd9f6967b79216ccff 144b9f4fc74dba8b7f7477005b6712c16d7151686cb0c421037f6768b3585654 964d213fb600f1a951d9f59f9712fe302bdcd619 4655e3feb9b37a79838fdc0a81a811c43cf1939db850ad490f197af35950b0c8a1f2b6acc936259c098a9c0b214c42e4fd4221437724b41c9959b075223138c9,,,,,,
file_intel,,f4589e494e7ebec05e334421f7d9bc77 08311c7305a81b49f42abcccb903ba091b0b1c6ef9deab91f84f3478610b53b3 adac63374d33086c4e856788fd22048d703f843447e2a66ab537323b0a02bdde60dfe507e9be5f51d34759fd9b3f960abdd66670dfc9ae97ef842f876ffc7a6b 001417dc528f851700a155d1effc22a415117807,,,,,,
file_intel,,cbdcb490ab79624fb88d4c170b4f7d56 a3fcac136e70ffe73509390650e13389e10eacb1 2ed33e684c8ef98867984f35eb95b9ee55690990951119a9ba91fd8cf093f92e5c94191f62b3ec3aea51b88b1638eb501638b3ab5a1bb9ff400542d0c7eb82f2 f4b96ae3bf10362051fc0da7f6f05cdf16eaa1268164bc50d16ae38ff0d82047,,,,,,
file_intel,,625f172c1e5ba0f0b71d1dc3615207e775fd9b31 5e8fcda1154ee88cb511cfe8025a60ba876eda57498fd7b101e83cc974aa9286 cfc768ec2286763acff4f9c0f8a10170 aa4ceac6db5925e580f57446dbede2fe43ac510cb465cc74c430fb62da375aa11db6dc495062dbc165fd004531bb7af06d5877057c88084244d2fab50d54a690,,,,,,
file_intel,,d8b8e955e29f45aa32a684394fdf0ea9 dc87d5d28bc993e9437e795da278299984ad59ed6fce259dedb5d3343b0db276 5b84eda95fdda9c070d471721869dd5ff9fc699ba54e0f0865b0f9b24d18197118422ff26eba860c4b5a1824369808c134b58c9063085946123885449f867db3 1cd2d3540daa9dbfb26001a9b84483bf0f44a167,,,,,,
file_intel,,076c6a9eda4e13a3094be820fec3b2d2847def95 0711250256df0024269e51cd8305a5a0 6aa6fe9472ada9bb881f058f9575e39dcbbba9d8d0b308069d7562b3c45c30b9 7164e0484c63d8f0f61008e44197e42534e0ec4fe6fe2b13b48fd3fd26529d12254f3fd68ab321588efcb2cb66364bed725a7ce80b57c0cddc0e40f0c8c963fe,,,,,,
file_intel,,4e0aacf39336016df76a42e5d5a1b619 99c6678661c94b0ae7af4fbacabf056a9a7abf44bb9848354d9b0ee0ae2db01b356638070acf12efc16624a41a48beaab9811b650ff5f1e9ba484d440a15e93c 13238dca2158e930b8f8d98b6a084aa9496db7260aa12ebdb7255872f2f89f1c 58341d53f4b8067c76eacb20333e2de2c28ad2f9,,,,,,
file_intel,,938ee0d7f2e57c8d4919e847cd3efe970a84a9033b0f5f18580a5ff63cb7340077fc56208f1d2e456c4da10f4d6b1634abb572195e5da9cee5b46471b51e5ff5 781d7e26ee57653595d3cf0682068a78 744194ee970adfcd6c00055eef57b9d2aa42c9be 0bbffd4816341c7f6750c250b9ca42e14d53b3aa77675ec94493c49e94c3747a,,,,,,
file_intel,,112bb34b318f696b437bc2599c321d57caaca8bf 60679c122ddef64fc214057c7cec9382d450057f9b083479f707278ca9cc45933dfdb25dea34049f7fd0fec25b88de47d89ac13e9c8b4344a81ea98a61000656 4b3b87e841aa238aa6bf256a8da49d14 45873176d98346b0454f329afe4c5b66de7f3dce7fa866c4630339edfb538365,,,,,,
file_intel,,7a3f825670c136c8b8a4a169ba47a03337a72c907b3e8864aaf38d441ed7f943 a0e6dff84e1d2e0856fe4c0d8df43d0312cf397e f21c89fbd1f4bb1db58109b13cb19ecf cd50947f1bda5981b6bc1feb597430e700fde05c460af62a33fb0c8444ce97054eee9b00dedb65acf0da8128185098627947d64838437886480e6b7a369c959a,,,,,,
file_intel,,06a41e20ecca9e73c78c907be9427467 fef03a37a69d2cfe653fa411dc8c81b675a7a1cd45f807a68568b30d9386eac0a27d01f8d82ed5d98c8da9b9f3afc8ac574215cd6d5afc68070b24f9c5af7c8d 21a7a258809fe19e1c9463d3f76d7f2f297b88c6 ef7efc503fb3c7d3324cbb6b2dddaffa0d6ad1d91e83eaad65f1af4ab28d90e5,,,,,,
